Latitude,Longitude,Speed,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
40.231727,29.009111,46.82,-0.38,1.58,9.96,0.04,-0.0,0.01
40.231727,29.009111,46.82,-1.26,2.07,11.61,-0.0,-0.01,0.01
40.231727,29.009111,46.82,-0.66,1.98,11.33,0.03,0.04,-0.01
40.231727,29.009111,46.82,-1.57,1.15,10.08,0.02,0.01,0.01
40.231727,29.009111,46.82,-1.15,1.51,10.32,0.04,-0.04,0.02
40.231727,29.009111,46.82,-0.33,1.81,10.4,-0.0,0.02,-0.01
40.231727,29.009111,46.82,-1.42,0.88,9.88,0.04,0.03,0.01
40.231727,29.009111,46.82,-1.36,1.02,10.3,0.04,-0.01,-0.01
40.23151,29.009111,38.17,-0.34,1.7,9.66,0.02,-0.0,0.0
40.23151,29.009111,38.17,-0.8,0.88,10.22,0.01,-0.01,0.01
40.23151,29.009111,38.17,-1.31,1.4,8.95,0.02,-0.02,0.01
40.23151,29.009111,38.17,-0.4,1.9,10.84,0.04,-0.02,-0.01
40.23151,29.009111,38.17,-0.79,1.24,9.2,0.05,-0.01,0.01
40.23151,29.009111,38.17,0.27,1.69,10.34,0.04,-0.03,0.02
40.23151,29.009111,38.17,-1.24,1.1,10.45,-0.01,-0.0,-0.01
40.23151,29.009111,38.17,-0.82,2.06,10.2,0.01,-0.02,0.02
40.23151,29.009111,38.17,-0.44,1.04,10.22,0.01,-0.06,0.01
40.23151,29.009111,38.17,-1.37,1.85,11.02,0.02,-0.04,0.0
40.23151,29.009111,38.17,-0.77,1.43,10.64,0.02,-0.01,0.0
40.23143,29.009113,29.39,-1.28,1.94,11.8,-0.03,0.02,-0.01
40.23143,29.009113,29.39,-0.32,1.27,9.69,0.03,0.0,0.01
40.23143,29.009113,29.39,-1.01,1.31,10.41,0.01,-0.01,0.01
40.23143,29.009113,29.39,-0.52,1.61,11.13,-0.01,0.03,-0.01
40.23143,29.009113,29.39,-1.21,1.36,10.16,-0.01,-0.01,-0.0
40.23143,29.009113,29.39,-1.01,1.98,10.89,0.03,-0.0,-0.0
40.23143,29.009113,29.39,-1.25,1.53,10.41,0.04,-0.01,0.0
40.231372,29.009115,29.39,-1.21,1.61,10.58,0.01,-0.01,-0.0
40.23133,29.009119,13.2,-0.79,1.69,10.53,0.02,-0.01,0.0
40.23133,29.009119,13.2,-0.95,0.96,10.26,0.01,-0.01,-0.01
40.23133,29.009119,13.2,-0.99,0.76,10.41,0.01,-0.01,-0.01
40.231311,29.009122,5.33,-0.76,-0.05,10.02,0.15,0.02,0.01
40.231311,29.009122,5.33,-0.42,-0.24,9.56,0.14,0.1,0.05
40.231311,29.009122,5.33,-0.82,-0.21,10.13,0.02,0.0,-0.01
40.231304,29.009122,1.41,-0.75,-0.66,10.15,0.02,-0.0,-0.03
40.231304,29.009122,1.41,-0.82,-1.42,10.36,0.01,-0.01,-0.07
40.231304,29.00912,0.93,-0.65,-1.46,10.45,0.0,-0.01,0.01
40.231304,29.00912,0.93,-0.55,-1.71,10.5,0.01,-0.01,0.01
40.231227,29.009124,15.61,-0.57,-1.65,10.28,0.01,0.02,-0.01
40.231178,29.009126,20.48,-0.25,-1.92,9.21,0.02,-0.03,-0.01
40.231178,29.009126,20.48,-1.18,-1.06,11.31,-0.06,0.01,-0.02
40.231178,29.009126,20.48,-0.67,-1.82,8.13,0.09,-0.04,0.01
40.231178,29.009126,20.48,-0.69,-1.96,6.63,0.05,-0.01,-0.01
40.231121,29.009128,25.22,-0.41,-2.14,8.02,0.06,0.0,-0.02
40.231121,29.009128,25.22,-0.62,-1.16,10.06,0.06,-0.01,-0.01
40.231121,29.009128,25.22,-0.64,-2.21,10.04,-0.01,-0.02,-0.02
40.231121,29.009128,25.22,-0.53,-1.45,9.39,-0.0,0.01,-0.01
40.231121,29.009128,25.22,-1.29,-1.42,10.23,0.04,-0.0,-0.01
40.231121,29.009128,25.22,-0.8,-1.61,11.61,-0.02,0.01,-0.02
40.231121,29.009128,25.22,-0.62,-1.89,9.06,0.03,0.0,-0.01
40.231121,29.009128,25.22,-0.82,-1.59,9.19,0.03,-0.03,-0.02
40.231121,29.009128,25.22,-1.3,-1.24,10.2,-0.06,0.0,-0.03
40.231121,29.009128,25.22,-0.62,-1.12,9.96,-0.06,-0.04,-0.0
